"Scenario_Name","GCM_or_Ensemble_name","Historical_normal_period","Future_period","Emissions_scenario","Link_to_source"
"RCP4.5","AdaptWest 13 CMIP6 AOGCM Ensemble","1961-1990","2050s","SSP2-4.5","https://adaptwest.databasin.org/pages/adaptwest-climatena/"
"RCP8.5","AdaptWest 13 CMIP6 AOGCM Ensemble","1961-1990","2050s","SSP2-4.5","https://adaptwest.databasin.org/pages/adaptwest-climatena/"
