"Scenario_Name","GCM_or_Ensemble_name","Historical_normal_period","Future_period","Emissions_scenario","Link_to_source","brks_mat","brks_cmd","brks_ccei"
"RCP 4.5","AdaptWest 15 CMIP5 AOGCM Ensemble","1961-1990","2050s","RCP 4.5","https://adaptwest.databasin.org/pages/adaptwest-climatena-cmip5/","6: (-5.2 - -3.13);5: (-3.13 - -3.05);4: (-3.05 - -2.97);3: (-2.97 - -2.89);2: (-2.89 - -2.81);1: (-2.81 - -1.56)","6: (-23.7 - -13.97);5: (-13.97 - -12.18);4: (-12.18 - -10.38);3: (-10.38 - -8.59);2: (-8.59 - -6.79);1: (-6.79 - 2.14)","1: (0 - 4);2: (4 - 5);3: (5 - 7);4: (7 - Inf)"
"RCP 8.5","AdaptWest 15 CMIP5 AOGCM Ensemble","1961-1990","2050s","RCP 8.5","https://adaptwest.databasin.org/pages/adaptwest-climatena-cmip5/","6: (-5.2 - -3.13);5: (-3.13 - -3.05);4: (-3.05 - -2.97);3: (-2.97 - -2.89);2: (-2.89 - -2.81);1: (-2.81 - -1.56)","6: (-23.7 - -13.97);5: (-13.97 - -12.18);4: (-12.18 - -10.38);3: (-10.38 - -8.59);2: (-8.59 - -6.79);1: (-6.79 - 2.14)","1: (0 - 4);2: (4 - 5);3: (5 - 7);4: (7 - Inf)"
